First Name,Last Name,Gender,Age,Email,Phone,College,Occupation Title,Average Pay,Highest Pay,Marital Status
Heather,Jones,Female,23,h.jones@randatmail.com,337-3163-52,Auburn University,Document Analyst,121048.54,161900.00,Married
Harold,Walker,Male,26,h.walker@randatmail.com,778-1490-71,Washington State University,General Physical Scientist,120784.34,252450.00,Single
Julian,Carter,Male,27,j.carter@randatmail.com,956-0676-10,Texas State University,Operations Researcher,120718.68,192522.00,Married
Sarah,Crawford,Female,29,s.crawford@randatmail.com,359-8603-81,Brigham Young University-Idaho,International Relations Personnel,120633.86,187000.00,Single
Amber,Evans,Female,33,a.evans@randatmail.com,262-0278-05,University of Massachusetts Amherst,Toxicologist,120248.84,250000.00,Married
Thomas,Cunningham,Male,37,t.cunningham@randatmail.com,201-7283-89,James Madison University,Oceanographer,120141.37,187000.00,Married
Garry,West,Male,33,g.west@randatmail.com,857-4671-25,Georgia Institute of Technology,Mathematical Statistician,119541.87,273345.00,Single
Jessica,Chapman,Female,34,j.chapman@randatmail.com,493-8900-43,University of North Carolina at Chapel Hill,Geodesist,119130.06,163817.00,Married
Melissa,Owens,Female,31,m.owens@randatmail.com,882-1396-31,Illinois State University,Health Physicist,118988.87,172100.00,Single
Sofia,Parker,Female,38,s.parker@randatmail.com,867-7106-94,Florida State University,Fire Protection Engineer,118611.61,170305.00,Married
Kate,Elliott,Female,36,k.elliott@randatmail.com,588-9821-46,East Carolina University,Pharmacist,118354.82,225000.00,Single
Alberta,Sullivan,Female,39,a.sullivan@randatmail.com,931-4639-17,New York University,Geophysicist,117598.85,187500.00,Single
Michelle,Morrison,Female,32,m.morrison@randatmail.com,491-2303-87,Louisiana State University,Chemical Engineer,117467.97,172546.00,Married
Isabella,Miller,Female,37,i.miller@randatmail.com,958-7683-02,San Diego State University System,Marine Survey Technician,116784.28,161900.00,Married
Miller,Walker,Male,38,m.walker@randatmail.com,235-2807-19,University of Delaware,Aviation Safety Personnel,116539.82,190165.00,Married
Ryan,Cooper,Male,38,r.cooper@randatmail.com,170-6348-88,West Virginia University,Clothing Designer,115902.00,130311.00,Married
Tony,Higgins,Male,30,t.higgins@randatmail.com,774-2020-81,University of New Hampshire,Dental Officer,115769.37,337925.00,Married
Arthur,Armstrong,Male,37,a.armstrong@randatmail.com,912-7635-20,"University of Maryland, College Park",Navigational Information Personnel,115660.02,192301.00,Single
Amber,Adams,Female,35,a.adams@randatmail.com,745-6733-35,University of North Dakota,Chemist,114912.01,270400.00,Married
Elian,Edwards,Male,37,e.edwards@randatmail.com,137-5282-87,Tulane University of Louisiana,Accountant,114553.41,282080.00,Married
Kevin,Higgins,Male,36,k.higgins@randatmail.com,758-7473-32,University of Louisville,Food Technologist,114335.09,163900.00,Married
Victor,Montgomery,Male,37,v.montgomery@randatmail.com,515-3483-53,University of Rhode Island,Plant Pathologist,114085.25,207800.00,Single
Jared,Robinson,Male,38,j.robinson@randatmail.com,629-7301-48,Temple University,Civil Rights Analyst,113979.89,162500.00,Single
Sabrina,Hunt,Female,38,s.hunt@randatmail.com,365-3640-85,Texas Christian University,Labor-Management Relations Examiner,113875.28,161900.00,Single
Grace,Ryan,Female,31,g.ryan@randatmail.com,566-6729-78,University of Wyoming,Trade Specialist,113843.20,163900.00,Single
Dexter,Casey,Male,35,d.casey@randatmail.com,436-9913-98,Ohio University,Environmental Engineer,113467.57,206525.00,Single
Arianna,Farrell,Female,32,a.farrell@randatmail.com,664-3333-85,"California Polytechnic State University, San Luis Obispo",Design Patent Examier,113459.88,170378.00,Single
Arnold,Hill,Male,38,a.hill@randatmail.com,861-7309-43,Ball State University,Health Insurance Administrator,113201.84,167400.00,Married
Daniel,Wright,Male,36,d.wright@randatmail.com,478-7534-33,Appalachian State University,Environmental Protection Specialist,113064.17,186898.00,Single
Ted,Harrison,Male,40,t.harrison@randatmail.com,101-8710-74,Montana State University,Intaglio Press Operator,112554.96,155616.00,Single
Eddy,Foster,Male,38,e.foster@randatmail.com,601-2252-53,Rutgers University,Education Programmer,112506.84,199700.00,Single
Kelsey,Crawford,Female,40,k.crawford@randatmail.com,589-3839-10,Utah Valley University,Physiologist,112293.28,243595.00,Married
Vivian,Williams,Female,31,v.williams@randatmail.com,056-8876-63,Missouri State University,Industrial Specialist,112104.18,194500.00,Single
Andrew,Watson,Male,35,a.watson@randatmail.com,879-6142-67,University of Southern California,Architect,111974.66,197000.00,Single
Robert,Taylor,Male,47,r.taylor@randatmail.com,155-1311-80,Grand Canyon University,Geneticist,111941.18,267800.00,Single
Martin,Rogers,Male,43,m.rogers@randatmail.com,805-8761-76,Northeastern University,Podiatrist,111816.35,176853.00,Single
Rubie,Wells,Female,40,r.wells@randatmail.com,636-4356-86,Syracuse University,Animal Scientist,111728.84,174612.00,Single
Grace,Carroll,Female,47,g.carroll@randatmail.com,202-9238-18,University of Minnesota Twin Cities,Information Technology Manager,111107.05,278771.00,Married
Miller,Ryan,Male,40,m.ryan@randatmail.com,607-0781-95,University of Oregon,Insurance Examiner,110917.25,162665.00,Single
Arnold,Myers,Male,47,a.myers@randatmail.com,651-1007-38,University of Dayton,Auditor,110604.14,269600.00,Married
Briony,Thompson,Female,41,b.thompson@randatmail.com,728-7368-16,Liberty University,Electrical Engineer,110571.63,209050.00,Single
Kimberly,Riley,Female,41,k.riley@randatmail.com,334-1689-84,Boston University,Aircraft Operator,110533.48,186617.00,Single
Ned,Dixon,Male,45,n.dixon@randatmail.com,300-6489-83,University of Kansas,Microbiologist,109754.61,260100.00,Married
Emily,Roberts,Female,41,e.roberts@randatmail.com,525-5993-13,University of North Texas,Mechanical Engineer,109411.90,188000.00,Married
Rosie,Johnson,Female,41,r.johnson@randatmail.com,035-9975-86,University of Texas at El Paso,Forest Products Technology Personnel,108798.52,155073.00,Single
Amy,Thomas,Female,42,a.thomas@randatmail.com,921-0461-26,University of Illinois at Chicago,Highway Safety Personnel,108276.75,161900.00,Married
Miller,Myers,Male,45,m.myers@randatmail.com,124-2180-19,University of North Carolina at Charlotte,Letterpress Operator,108182.09,146339.00,Single
David,Adams,Male,48,d.adams@randatmail.com,318-5744-89,University of Washington,Petroleum Engineer,107932.87,190639.00,Single
Samantha,Roberts,Female,40,s.roberts@randatmail.com,311-0627-20,Kansas State University,Workforce Development Personnel,107882.60,187000.00,Single
Amelia,Brooks,Female,47,a.brooks@randatmail.com,231-0535-13,Villanova University,Entomology,107312.63,201086.00,Married
Miley,Stewart,Female,45,m.stewart@randatmail.com,702-9671-63,University of Connecticut,Public Health Educator,107222.43,161900.00,Single
Antony,Williams,Male,42,a.williams@randatmail.com,566-7745-38,Kennesaw State University,Equal Employment Opportunity Personnel,106919.58,234700.00,Single
Robert,Mitchell,Male,46,r.mitchell@randatmail.com,772-2506-83,Wake Forest University,Safety Engineer,106869.68,187000.00,Married
Lucas,Hill,Male,47,l.hill@randatmail.com,296-1070-22,Boise State University,Optometrist,106629.81,181445.00,Married
